"region","country","year","status","task_id","zip_file","tif_file","error"
"Estonia","EE",1990,"Finished_ok","31157210323","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/EE/CLC1990_EE.zip","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/EE/1990/Results/U2000_CLC1990_V2020_20u1/U2000_CLC1990_V2020_20u1/U2000_CLC1990_V2020_20u1.tif",NA
"Estonia","EE",2000,"Finished_ok","96248484001","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/EE/CLC2000_EE.zip","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/EE/2000/Results/U2006_CLC2000_V2020_20u1/U2006_CLC2000_V2020_20u1/U2006_CLC2000_V2020_20u1.tif",NA
"Estonia","EE",2006,"Finished_ok","86037848090","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/EE/CLC2006_EE.zip","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/EE/2006/Results/U2012_CLC2006_V2020_20u1/U2012_CLC2006_V2020_20u1/U2012_CLC2006_V2020_20u1.tif",NA
"Estonia","EE",2012,"Finished_ok","45809165059","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/EE/CLC2012_EE.zip","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/EE/2012/Results/U2018_CLC2012_V2020_20u1_raster100m/U2018_CLC2012_V2020_20u1_raster100m/U2018_CLC2012_V2020_20u1_raster100m.tif",NA
"Estonia","EE",2018,"already_available",NA,"C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/EE/CLC2018_EE.zip","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/EE/2018/Results/U2018_CLC2018_V2020_20u1/U2018_CLC2018_V2020_20u1/U2018_CLC2018_V2020_20u1.tif",NA
"Latvia","LV",1990,"Finished_ok","30849996318","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LV/CLC1990_LV.zip","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LV/1990/Results/U2000_CLC1990_V2020_20u1/U2000_CLC1990_V2020_20u1/U2000_CLC1990_V2020_20u1.tif",NA
"Latvia","LV",2000,"Finished_ok","38221450901","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LV/CLC2000_LV.zip","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LV/2000/Results/U2006_CLC2000_V2020_20u1/U2006_CLC2000_V2020_20u1/U2006_CLC2000_V2020_20u1.tif",NA
"Latvia","LV",2006,"Finished_ok","84112497983","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LV/CLC2006_LV.zip","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LV/2006/Results/U2012_CLC2006_V2020_20u1/U2012_CLC2006_V2020_20u1/U2012_CLC2006_V2020_20u1.tif",NA
"Latvia","LV",2012,"Finished_ok","56490076740","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LV/CLC2012_LV.zip","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LV/2012/Results/U2018_CLC2012_V2020_20u1_raster100m/U2018_CLC2012_V2020_20u1_raster100m/U2018_CLC2012_V2020_20u1_raster100m.tif",NA
"Latvia","LV",2018,"Finished_ok","66524011088","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LV/CLC2018_LV.zip","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LV/2018/Results/U2018_CLC2018_V2020_20u1/U2018_CLC2018_V2020_20u1/U2018_CLC2018_V2020_20u1.tif",NA
"Lithuania","LT",1990,"Finished_ok","89853320526","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LT/CLC1990_LT.zip","C:/Users/Cyril/OneDrive - UCL/Documents/habitat-fragmentation-europe/data_input/corine/LT/1990/Results/U2000_CLC1990_V2020_20u1/U2000_CLC1990_V2020_20u1/U2000_CLC1990_V2020_20u1.tif",NA
