sample_id,grid_id,study_area,year,metric,value,name,unit,fragmentation_interpretation
ESP_S1,ESP_0412,Spain,1990,pland,17.84714015120854,Percentage of landscape,%,Forest habitat amount
ESP_S1,ESP_0412,Spain,1990,np,52,Number of patches,count,Absolute patch subdivision
ESP_S1,ESP_0412,Spain,1990,pd,0.08418462335475643,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S1,ESP_0412,Spain,1990,ed,11.772895789142726,Edge density,m / ha,Density of forest-matrix edges
ESP_S1,ESP_0412,Spain,1990,lpi,6.258802959413298,Largest patch index,%,Dominance of the largest forest patch
ESP_S1,ESP_0412,Spain,1990,cohesion,96.6537214045115,Patch cohesion index,%,Structural connectedness
ESP_S1,ESP_0412,Spain,1990,enn_mn,534.9989497094729,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S1,ESP_0412,Spain,1990,ai,83.95457459474311,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S1,ESP_0412,Spain,2000,pland,17.82285612524082,Percentage of landscape,%,Forest habitat amount
ESP_S1,ESP_0412,Spain,2000,np,53,Number of patches,count,Absolute patch subdivision
ESP_S1,ESP_0412,Spain,2000,pd,0.08580355841927098,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S1,ESP_0412,Spain,2000,ed,11.761563243691137,Edge density,m / ha,Density of forest-matrix edges
ESP_S1,ESP_0412,Spain,2000,lpi,6.258802959413298,Largest patch index,%,Dominance of the largest forest patch
ESP_S1,ESP_0412,Spain,2000,cohesion,96.63096824848128,Patch cohesion index,%,Structural connectedness
ESP_S1,ESP_0412,Spain,2000,enn_mn,530.2412848559851,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S1,ESP_0412,Spain,2000,ai,83.96001467351431,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S1,ESP_0412,Spain,2006,pland,30.700106861824423,Percentage of landscape,%,Forest habitat amount
ESP_S1,ESP_0412,Spain,2006,np,130,Number of patches,count,Absolute patch subdivision
ESP_S1,ESP_0412,Spain,2006,pd,0.2104854117418457,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S1,ESP_0412,Spain,2006,ed,22.54136847899246,Edge density,m / ha,Density of forest-matrix edges
ESP_S1,ESP_0412,Spain,2006,lpi,19.716006606003692,Largest patch index,%,Dominance of the largest forest patch
ESP_S1,ESP_0412,Spain,2006,cohesion,98.86063493783209,Patch cohesion index,%,Structural connectedness
ESP_S1,ESP_0412,Spain,2006,enn_mn,280.5453324900022,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S1,ESP_0412,Spain,2006,ai,81.97418052382723,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S1,ESP_0412,Spain,2012,pland,27.717690489297624,Percentage of landscape,%,Forest habitat amount
ESP_S1,ESP_0412,Spain,2012,np,137,Number of patches,count,Absolute patch subdivision
ESP_S1,ESP_0412,Spain,2012,pd,0.22181924160486816,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S1,ESP_0412,Spain,2012,ed,22.60937145816956,Edge density,m / ha,Density of forest-matrix edges
ESP_S1,ESP_0412,Spain,2012,lpi,13.75441209805382,Largest patch index,%,Dominance of the largest forest patch
ESP_S1,ESP_0412,Spain,2012,cohesion,98.25104146826514,Patch cohesion index,%,Structural connectedness
ESP_S1,ESP_0412,Spain,2012,enn_mn,264.546486910918,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S1,ESP_0412,Spain,2012,ai,79.92406404520838,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S1,ESP_0412,Spain,2018,pland,27.40843884589229,Percentage of landscape,%,Forest habitat amount
ESP_S1,ESP_0412,Spain,2018,np,140,Number of patches,count,Absolute patch subdivision
ESP_S1,ESP_0412,Spain,2018,pd,0.22667659726044925,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S1,ESP_0412,Spain,2018,ed,22.50574787085045,Edge density,m / ha,Density of forest-matrix edges
ESP_S1,ESP_0412,Spain,2018,lpi,13.700981185842426,Largest patch index,%,Dominance of the largest forest patch
ESP_S1,ESP_0412,Spain,2018,cohesion,98.14126414308063,Patch cohesion index,%,Structural connectedness
ESP_S1,ESP_0412,Spain,2018,enn_mn,264.4775188548894,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S1,ESP_0412,Spain,2018,ai,79.78865902664087,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S2,ESP_0508,Spain,1990,pland,55.0208,Percentage of landscape,%,Forest habitat amount
ESP_S2,ESP_0508,Spain,1990,np,22,Number of patches,count,Absolute patch subdivision
ESP_S2,ESP_0508,Spain,1990,pd,0.0352,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S2,ESP_0508,Spain,1990,ed,18.00319999999478,Edge density,m / ha,Density of forest-matrix edges
ESP_S2,ESP_0508,Spain,1990,lpi,48.4208,Largest patch index,%,Dominance of the largest forest patch
ESP_S2,ESP_0508,Spain,1990,cohesion,99.70505658419839,Patch cohesion index,%,Structural connectedness
ESP_S2,ESP_0508,Spain,1990,enn_mn,452.0050642052634,Mean nearest-neighbour distance,m,Isolation among forest patches
ESP_S2,ESP_0508,Spain,1990,ai,91.96257583509977,Aggregation index,%,Aggregation of adjacent forest cells
ESP_S2,ESP_0508,Spain,2000,pland,54.9616,Percentage of landscape,%,Forest habitat amount
ESP_S2,ESP_0508,Spain,2000,np,22,Number of patches,count,Absolute patch subdivision
ESP_S2,ESP_0508,Spain,2000,pd,0.0352,Patch density,patches / 100 ha,Area-standardized patch subdivision
ESP_S2,ESP_0508,Spain,2000,ed,18.05439999999478,Edge density,m / ha,Density of forest-matrix edges
